epoch,step,train_class_loss_epoch,train_class_loss_step,train_kld_loss_epoch,train_kld_loss_step,train_recon_loss_epoch,train_recon_loss_step,train_total_loss_epoch,train_total_loss_step,train_vae_loss_epoch,train_vae_loss_step,val_acc,val_class_loss,val_kld_loss,val_recon_loss,val_total_loss,val_vae_loss
0,8,,,,,,,,,,,0.40740740299224854,1.4462237358093262,0.08139932155609131,0.830243706703186,2.3578667640686035,0.9116430878639221
0,8,1.5421797037124634,,0.9075814485549927,,0.9555947780609131,,3.405355930328369,,1.8631761074066162,,,,,,,
1,9,,1.411406397819519,,0.48371076583862305,,0.9222643375396729,,2.8173813819885254,,1.405975103378296,,,,,,
1,17,,,,,,,,,,,0.5870370268821716,1.2912895679473877,0.12458336353302002,0.8352084755897522,2.2510814666748047,0.9597918391227722
1,17,1.3759770393371582,,0.41764143109321594,,0.9017996788024902,,2.695417881011963,,1.3194409608840942,,,,,,,
2,19,,1.2653777599334717,,0.2795120179653168,,0.8801440596580505,,2.4250338077545166,,1.159656047821045,,,,,,
2,26,,,,,,,,,,,0.6277777552604675,1.1665751934051514,0.11453752964735031,0.8364970088005066,2.117609739303589,0.9510345458984375
2,26,1.238205075263977,,0.25809454917907715,,0.8767524361610413,,2.3730521202087402,,1.1348469257354736,,,,,,,
3,29,,1.152933120727539,,0.19681580364704132,,0.843129575252533,,2.192878484725952,,1.039945363998413,,,,,,
3,35,,,,,,,,,,,0.644444465637207,1.0628316402435303,0.09578868746757507,0.8347603678703308,1.9933806657791138,0.9305490851402283
3,35,1.1145797967910767,,0.18926407396793365,,0.8606371879577637,,2.1644809246063232,,1.0499012470245361,,,,,,,
4,39,,1.0434175729751587,,0.1495388299226761,,0.8599832057952881,,2.0529396533966064,,1.0095220804214478,,,,,,
4,44,,,,,,,,,,,0.6907407641410828,0.9740490913391113,0.07378407567739487,0.8312748670578003,1.87910795211792,0.9050589799880981
4,44,1.025807499885559,,0.15188930928707123,,0.8513739705085754,,2.0290706157684326,,1.003263235092163,,,,,,,
5,49,,0.9717841148376465,,0.12625586986541748,,0.8447591066360474,,1.9427990913391113,,0.9710149765014648,,,,,,
5,53,,,,,,,,,,,0.6759259104728699,0.9223625063896179,0.057969629764556885,0.8300456404685974,1.810377836227417,0.8880152702331543
5,53,0.9492953419685364,,0.12506985664367676,,0.8460366129875183,,1.9204018115997314,,0.9711065292358398,,,,,,,
6,59,,0.881208062171936,,0.10400142520666122,,0.859973669052124,,1.8451831340789795,,0.9639750719070435,,,,,,
6,62,,,,,,,,,,,0.6925926208496094,0.8720951676368713,0.047418151050806046,0.8285473585128784,1.748060703277588,0.8759654760360718
6,62,0.8931746482849121,,0.10489737242460251,,0.8426439762115479,,1.840716004371643,,0.947541356086731,,,,,,,
7,69,,0.8316797018051147,,0.08692546933889389,,0.8489987254142761,,1.767603874206543,,0.9359241724014282,,,,,,
7,71,,,,,,,,,,,0.6888889074325562,0.8257957100868225,0.042063672095537186,0.8266519904136658,1.6945114135742188,0.8687155842781067
7,71,0.8538644313812256,,0.09477686882019043,,0.8396469950675964,,1.7882883548736572,,0.9344239234924316,,,,,,,
8,79,,0.8374879360198975,,0.07664795219898224,,0.8556848168373108,,1.7698206901550293,,0.9323327541351318,,,,,,
8,80,,,,,,,,,,,0.6870370507240295,0.810905396938324,0.03382081910967827,0.8260396122932434,1.6707658767700195,0.8598604798316956
8,80,0.8201001882553101,,0.08424995094537735,,0.8375183343887329,,1.741868495941162,,0.9217682480812073,,,,,,,
9,89,,0.7556758522987366,,0.07226336002349854,,0.8497069478034973,,1.6776461601257324,,0.9219703078269958,,,,,,
9,89,,,,,,,,,,,0.6870370507240295,0.7776967287063599,0.030430659651756287,0.8251251578330994,1.6332523822784424,0.8555557727813721
9,89,0.8001599907875061,,0.07209858298301697,,0.836402177810669,,1.7086608409881592,,0.9085007905960083,,,,,,,
10,98,,,,,,,,,,,0.6888889074325562,0.7487812638282776,0.02796545810997486,0.824792206287384,1.601538896560669,0.8527575731277466
10,98,0.7804659605026245,,0.06569048762321472,,0.8352769613265991,,1.6814334392547607,,0.900967538356781,,,,,,,
11,99,,0.7691371440887451,,0.06186569482088089,,0.8274418711662292,,1.6584446430206299,,0.8893075585365295,,,,,,
11,107,,,,,,,,,,,0.6888889074325562,0.7384551167488098,0.024952391162514687,0.8244718313217163,1.5878793001174927,0.8494241833686829
11,107,0.7729607820510864,,0.060441307723522186,,0.834349513053894,,1.6677515506744385,,0.8947908282279968,,,,,,,
12,109,,0.7211227416992188,,0.058503925800323486,,0.8110141754150391,,1.5906407833099365,,0.8695181012153625,,,,,,
12,116,,,,,,,,,,,0.6907407641410828,0.741014838218689,0.023024791851639748,0.8242361545562744,1.5882757902145386,0.8472609519958496
12,116,0.7586134672164917,,0.05387785658240318,,0.8335006237030029,,1.6459919214248657,,0.8873785138130188,,,,,,,
13,119,,0.7271179556846619,,0.047886982560157776,,0.8628550171852112,,1.6378599405288696,,0.9107419848442078,,,,,,
13,125,,,,,,,,,,,0.6907407641410828,0.7264932990074158,0.0204838365316391,0.8238422274589539,1.5708192586898804,0.8443260788917542
13,125,0.7495962977409363,,0.050811249762773514,,0.832905113697052,,1.633312702178955,,0.883716344833374,,,,,,,
14,129,,0.7680158019065857,,0.053324826061725616,,0.8224909901618958,,1.6438316106796265,,0.8758158087730408,,,,,,
14,134,,,,,,,,,,,0.6907407641410828,0.7404098510742188,0.019025905057787895,0.8235858082771301,1.5830215215682983,0.8426116704940796
